"","Year","AgeGroup","AnnualFertilityRate.BirthsPerThousandWomen"
"1",1940,"15-19",10.7
"2",1941,"15-19",10.1
"3",1942,"15-19",10.1
"4",1943,"15-19",10
"5",1944,"15-19",9.9
"6",1945,"15-19",10.4
"7",1946,"15-19",13.4
"8",1947,"15-19",15
"9",1948,"15-19",13.6
"10",1949,"15-19",12.7
"11",1950,"15-19",12.5
"12",1951,"15-19",13.3
"13",1952,"15-19",14
"14",1953,"15-19",13.4
"15",1954,"15-19",12.9
"16",1955,"15-19",13.6
"17",1956,"15-19",13.8
"18",1957,"15-19",14.5
"19",1958,"15-19",14.8
"20",1959,"15-19",15.8
"21",1960,"15-19",16.3
"22",1961,"15-19",17.3
"23",1962,"15-19",17.7
"24",1963,"15-19",18.8
"25",1964,"15-19",19.6
"26",1965,"15-19",21
"27",1966,"15-19",22.3
"28",1967,"15-19",22.5
"29",1968,"15-19",21.7
"30",1969,"15-19",22.8
"31",1970,"15-19",22.6
"32",1971,"15-19",22.3
"33",1972,"15-19",20
"34",1973,"15-19",17.3
"35",1974,"15-19",15.2
"36",1975,"15-19",12.6
"37",1976,"15-19",11.3
"38",1977,"15-19",10.1
"39",1978,"15-19",9.4
"40",1979,"15-19",8.9
"41",1980,"15-19",9.2
"42",1981,"15-19",9
"43",1982,"15-19",8.2
"44",1983,"15-19",7.7
"45",1984,"15-19",7.4
"46",1985,"15-19",6.8
"47",1986,"15-19",6.8
"48",1987,"15-19",6.7
"49",1988,"15-19",7.2
"50",1989,"15-19",7.6
"51",1990,"15-19",8.3
"52",1991,"15-19",8.3
"53",1992,"15-19",7.7
"54",1993,"15-19",7.2
"55",1994,"15-19",6.9
"56",1995,"15-19",5.8
"57",1996,"15-19",5.6
"58",1997,"15-19",6
"59",1998,"15-19",6.3
"60",1999,"15-19",6.7
"61",2000,"15-19",7.4
"62",2001,"15-19",7.8
"63",2002,"15-19",7.6
"64",2003,"15-19",7.1
"65",2004,"15-19",6.3
"66",2005,"15-19",5.8
"67",2006,"15-19",5.2
"68",2007,"15-19",5.2
"69",2008,"15-19",5.2
"70",2009,"15-19",5.3
"71",2010,"15-19",5.1
"72",2011,"15-19",4.8
"73",2012,"15-19",4.5
"74",2013,"15-19",3.9
"75",2014,"15-19",3.7
"76",2015,"15-19",3.2
"77",1940,"20-24",87.7
"78",1941,"20-24",87.2
"79",1942,"20-24",87
"80",1943,"20-24",95.6
"81",1944,"20-24",96.2
"82",1945,"20-24",86.6
"83",1946,"20-24",111.3
"84",1947,"20-24",109.4
"85",1948,"20-24",101.1
"86",1949,"20-24",97
"87",1950,"20-24",94
"88",1951,"20-24",96.7
"89",1952,"20-24",99.7
"90",1953,"20-24",98.7
"91",1954,"20-24",101
"92",1955,"20-24",103.1
"93",1956,"20-24",106.4
"94",1957,"20-24",111
"95",1958,"20-24",115.4
"96",1959,"20-24",119.9
"97",1960,"20-24",120.3
"98",1961,"20-24",127.8
"99",1962,"20-24",132.1
"100",1963,"20-24",136.6
"101",1964,"20-24",139.2
"102",1965,"20-24",140.3
"103",1966,"20-24",138.6
"104",1967,"20-24",139.9
"105",1968,"20-24",139.3
"106",1969,"20-24",144.5
"107",1970,"20-24",136.8
"108",1971,"20-24",132.1
"109",1972,"20-24",124.7
"110",1973,"20-24",112.3
"111",1974,"20-24",105.6
"112",1975,"20-24",97.9
"113",1976,"20-24",94.5
"114",1977,"20-24",87.9
"115",1978,"20-24",85.4
"116",1979,"20-24",81.7
"117",1980,"20-24",80.2
"118",1981,"20-24",74.6
"119",1982,"20-24",69.4
"120",1983,"20-24",65.7
"121",1984,"20-24",64.2
"122",1985,"20-24",60.6
"123",1986,"20-24",58
"124",1987,"20-24",54.3
"125",1988,"20-24",51.3
"126",1989,"20-24",49.1
"127",1990,"20-24",48.2
"128",1991,"20-24",46.1
"129",1992,"20-24",43.4
"130",1993,"20-24",41.3
"131",1994,"20-24",41.1
"132",1995,"20-24",39.1
"133",1996,"20-24",37.5
"134",1997,"20-24",38.5
"135",1998,"20-24",38.6
"136",1999,"20-24",39.1
"137",2000,"20-24",41.4
"138",2001,"20-24",40.9
"139",2002,"20-24",41.2
"140",2003,"20-24",41.3
"141",2004,"20-24",40.9
"142",2005,"20-24",39.7
"143",2006,"20-24",39.1
"144",2007,"20-24",39
"145",2008,"20-24",38.5
"146",2009,"20-24",38
"147",2010,"20-24",37.3
"148",2011,"20-24",35.5
"149",2012,"20-24",34
"150",2013,"20-24",32.5
"151",2014,"20-24",31.8
"152",2015,"20-24",29.5
"153",1940,"25-30",156.5
"154",1941,"25-30",155.6
"155",1942,"25-30",158.5
"156",1943,"25-30",176.7
"157",1944,"25-30",184.9
"158",1945,"25-30",168.7
"159",1946,"25-30",223.2
"160",1947,"25-30",206.2
"161",1948,"25-30",192.7
"162",1950,"25-30",180.05
"163",1951,"25-30",180.7
"164",1952,"25-30",185.6
"165",1953,"25-30",183.8
"166",1954,"25-30",187
"167",1955,"25-30",190
"168",1956,"25-30",194.1
"169",1957,"25-30",200.3
"170",1958,"25-30",204.1
"171",1959,"25-30",210.2
"172",1960,"25-30",208.4
"173",1961,"25-30",214.7
"174",1962,"25-30",212.8
"175",1963,"25-30",214.4
"176",1964,"25-30",213.5
"177",1965,"25-30",207.2
"178",1966,"25-30",200.5
"179",1967,"25-30",194.1
"180",1968,"25-30",190.5
"181",1969,"25-30",195.1
"182",1970,"25-30",185
"183",1971,"25-30",172
"184",1972,"25-30",163
"185",1973,"25-30",149.2
"186",1974,"25-30",143.3
"187",1975,"25-30",137.6
"188",1976,"25-30",138
"189",1977,"25-30",136.6
"190",1978,"25-30",139.9
"191",1979,"25-30",139.1
"192",1980,"25-30",142.6
"193",1981,"25-30",139.8
"194",1982,"25-30",132.5
"195",1983,"25-30",129.4
"196",1984,"25-30",131.1
"197",1985,"25-30",131.4
"198",1986,"25-30",134.1
"199",1987,"25-30",132.1
"200",1988,"25-30",127.7
"201",1989,"25-30",124.5
"202",1990,"25-30",126.4
"203",1991,"25-30",123.1
"204",1992,"25-30",117.4
"205",1993,"25-30",113.8
"206",1994,"25-30",111
"207",1995,"25-30",106.4
"208",1996,"25-30",104.5
"209",1997,"25-30",104.6
"210",1998,"25-30",108.7
"211",1999,"25-30",109.5
"212",2000,"25-30",112.2
"213",2001,"25-30",109.2
"214",2002,"25-30",109.3
"215",2003,"25-30",109.6
"216",2004,"25-30",107.3
"217",2005,"25-30",106.1
"218",2006,"25-30",107.1
"219",2007,"25-30",106.1
"220",2008,"25-30",110.5
"221",2009,"25-30",111.7
"222",2010,"25-30",111.8
"223",2011,"25-30",108.8
"224",2012,"25-30",107.1
"225",2013,"25-30",103.5
"226",2014,"25-30",104.5
"227",2015,"25-30",99.9
"228",1940,"30+",95.5
"229",1941,"30+",91.4
"230",1942,"30+",97.2
"231",1943,"30+",106.5
"232",1944,"30+",113.5
"233",1945,"30+",110.5
"234",1946,"30+",150.6
"235",1947,"30+",137.3
"236",1948,"30+",124.8
"237",1949,"30+",114.9
"238",1950,"30+",82.925
"239",1951,"30+",80.025
"240",1952,"30+",79.725
"241",1953,"30+",77.825
"242",1954,"30+",76.25
"243",1955,"30+",75.125
"244",1956,"30+",74.225
"245",1957,"30+",72.55
"246",1958,"30+",71.65
"247",1959,"30+",71.575
"248",1960,"30+",69.3
"249",1961,"30+",70.4
"250",1962,"30+",67.55
"251",1963,"30+",66.4
"252",1964,"30+",64.275
"253",1965,"30+",59.25
"254",1966,"30+",54.125
"255",1967,"30+",50.375
"256",1968,"30+",46.8
"257",1969,"30+",46.4
"258",1970,"30+",43.075
"259",1971,"30+",37.45
"260",1972,"30+",31.5
"261",1973,"30+",26.2
"262",1974,"30+",23.25
"263",1975,"30+",21.375
"264",1976,"30+",20.825
"265",1977,"30+",20.775
"266",1978,"30+",20.925
"267",1979,"30+",20.925
"268",1980,"30+",22
"269",1981,"30+",22.075
"270",1982,"30+",22.225
"271",1983,"30+",22.8
"272",1984,"30+",23.95
"273",1985,"30+",25.875
"274",1986,"30+",27.925
"275",1987,"30+",29.775
"276",1988,"30+",30.975
"277",1989,"30+",32.7
"278",1990,"30+",35.375
"279",1991,"30+",36.5
"280",1992,"30+",37.65
"281",1993,"30+",38.525
"282",1994,"30+",39.275
"283",1995,"30+",39.175
"284",1996,"30+",39.95
"285",1997,"30+",41.225
"286",1998,"30+",43.55
"287",1999,"30+",44.425
"288",2000,"30+",46.525
"289",2001,"30+",46.5
"290",2002,"30+",47.3
"291",2003,"30+",47.875
"292",2004,"30+",47.6
"293",2005,"30+",47.375
"294",2006,"30+",47.85
"295",2007,"30+",47.925
"296",2008,"30+",49.675
"297",2009,"30+",50.35
"298",2010,"30+",50.775
"299",2011,"30+",50.225
"300",2012,"30+",49.325
"301",2013,"30+",48.675
"302",2014,"30+",50.425
"303",2015,"30+",49.625
