Year,Month,FamineArea.MaleBirths,FamineArea.FemaleBirths,FamineArea.Ratio,NorthControlArea.MaleBirths,NorthControlArea.FemaleBirths,NorthControlArea.Ratio,SouthControlArea.MaleBirths,SouthControlArea.FemaleBirths,SouthControlArea.Ratio
1944,01,2061,1764,1.168,393,352,1.116,461,408,1.130
1944,02,1934,1785,1.083,324,314,1.032,472,441,1.070
1944,03,1973,1962,1.006,361,404,.894,530,479,1.106
1944,04,1971,1753,1.124,389,336,1.158,468,458,1.022
1944,05,1975,1916,1.031,394,404,.975,496,493,1.006
1944,06,1924,1918,1.003,332,312,1.064,469,463,1.013
1944,07,2027,1925,1.053,385,364,1.058,513,444,1.155
1944,08,1988,1865,1.066,389,330,1.179,523,502,1.042
1944,09,2132,2005,1.063,391,363,1.077,476,447,1.065
1944,10,2047,1899,1.078,386,354,1.090,481,430,1.119
1944,11,1982,1918,1.033,307,299,1.027,393,402,.978
1944,12,1942,1957,.992,345,305,1.131,441,440,1.002
1945,01,2099,2007,1.046,338,409,.826,484,466,1.039
1945,02,1965,1943,1.011,429,370,1.159,474,429,1.105
1945,03,2058,1946,1.058,441,388,1.137,555,583,.952
1945,04,2157,2032,1.062,426,442,.964,532.,474,1.122
1945,05,2146,1929,1.112,414,363,1.140,511,524,.975
1945,06,1689,1688,1.001,337,324,1.040,464,452,1.027
1945,07,1703,1623,1.049,402,335,1.200,534,466,1.146
1945,08,1435,1366,1.051,314,354,.887,560,499,1.122
1945,09,1100,1011,1.088,350,317,1.104,523,477,1.096
1945,10,917,835,1.098,318,261,1.218,541,530,1.021
1945,11,861,780,1.104,288,290,.993,516,502,1.028
1945,12,1008,926,1.089,370,307,1.205,518,496,1.044
1946,01,1307,1258,1.039,454,406,1.118,553,480,1.152
1946,02,2020,1880,1.074,466,472,.987,562,494,1.138
1946,03,3463,3267,1.060,570,573,.995,719,593,1.212
1946,04,3726,3491,1.067,551,514,1.072,649,561,1.157
1946,05,3960,3610,1.097,572,515,1.111,681,633,1.076
1946,06,3558,3342,1.065,511,448,1.141,620,550,1.127
1946,07,3576,3205,1.116,523,476,1.099,550,585,.940
1946,08,3368,3133,1.075,517,460,1.124,550,506,1.087
1946,09,3116,2895,1.076,485,429,1.131,545,498,1.094
1946,10,2876,2792,1.030,459,421,1.090,559,503,1.111
1946,11,2672,2455,1.088,386,377,1.024,497,445,1.117
1946,12,2830,2709,1.045,404,399,1.013,529,532,.994